"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 29 02:59:13 UTC 2023","Tue Aug 29 02:59:16 UTC 2023","2946","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Aug 29 03:22:22 UTC 2023","Tue Aug 29 03:22:25 UTC 2023","2901","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Tue Aug 29 03:07:40 UTC 2023","Tue Aug 29 03:07:42 UTC 2023","2339","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Aug 29 04:02:57 UTC 2023","Tue Aug 29 04:03:24 UTC 2023","26847","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Tue Aug 29 03:50:26 UTC 2023","Tue Aug 29 03:50:46 UTC 2023","19374","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Tue Aug 29 03:50:23 UTC 2023","Tue Aug 29 03:50:26 UTC 2023","2870","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Tue Aug 29 04:23:49 UTC 2023","Tue Aug 29 04:24:06 UTC 2023","17792","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Tue Aug 29 03:18:09 UTC 2023","Tue Aug 29 03:18:12 UTC 2023","3052","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Aug 29 03:13:59 UTC 2023","Tue Aug 29 03:14:03 UTC 2023","3935","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Aug 29 04:35:04 UTC 2023","Tue Aug 29 04:35:05 UTC 2023","913","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Tue Aug 29 04:03:26 UTC 2023","Tue Aug 29 04:04:10 UTC 2023","44227","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Aug 29 03:07:42 UTC 2023","Tue Aug 29 03:07:43 UTC 2023","794","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
